רשימת יישובים ואזורים סטטיסטיים שבהם מתגוררת אוכלוסייה חרדית לפי רמת הומוגניות חרדית,,,,,,
" לפי תוצאות הבחירות לכנסת ה-20, שנערכו בשנת 2015",,,,,,
מס',רמת הומוגניות חרדית ,שם יישוב,סמל יישוב,סמל אזור סטטיסטי,פירוט גאוגרפי,רמה מקובצת של הומוגניות חרדית - בחירות 13
89,1,נתניה,7400,223,"הרצוג, רבי עקיבא, סוקולוב, דברי חיים, המלכים",1
90,1,פתח תקווה,7900,523,"דרך בגין מנחם, רוזובסקי יוסף, מנחת שלמה, אריה בן אליעזר, קהילות יעקב",1
91,1,קוממיות,766,0,,1
92,1,קרית יערים,1137,0,,1
93,1,תפרח,709,0,,1
2,,,,,,
94,2,ירושלים,3000,851,"הנציב, התבור, יזרעאל, הלבנון, בצלאל",2
3,,,,,,
95,3,אלעד,1309,4,"רבן יוחנן בן זכאי, רבי מאיר, רבי יונתן בן עוזי, בעלי התוספות, רשב""י",3
96,3,אלעד,1309,6,"רבי יוסף קארו, רבן יוחנן בן זכאי, רבי יהודה נשיא, רבי חייא, רשב""י",3
97,3,אלעד,1309,7,"אבן גבירול, הרי""ף, עובדיה מברטנורה, רבי יהודה נשיא, שמעון בן שטח",3
98,3,בית שמש,2610,34,"נהר הירדן, נחל איילון, נחל לכיש, נחל הקישון, נחל שורק",3
99,3,בית שמש,2610,36,"נחל לוז, נחל איילון, נהר הירקון, נהר הירדן, נחל רפאים",2
100,3,בית שמש,2610,38,"השחר,רמת בית שמש ג",*
101,3,ביתר עילית,3780,1,"רבי עקיבא, ישראל מרוז'ין, התעוררות תשובה, דברי חיים, אלעזר המודעי",3
102,3,בני ברק,6100,113,"גניחובסקי, נורוק, ככר האחים מאיר, קובלסקי, צבי",3
103,3,בני ברק,6100,232,"פוקס אהרון דב, הרב קוק, ירמיהו, בן גוריון דוד, רבי עקיבא",3
104,3,בני ברק,6100,411,"אהרונוביץ ראובן, בר אילן, ברויאר, ז'בוטינסקי, צירלסון",3
105,3,ירושלים,3000,424,"הרואה, טללים, מעלות כיסופים, רביבים, שירת הים",1
106,3,ירושלים,3000,432,"קהילות שו""ם, אידלזון אברהם, גליק נלסון, סיון שלום, רקנטי אברהם",1
107,3,ירושלים,3000,533,"שמואל הנביא, שמעון הצדיק, ארזי הבירה, זקס משה, פתחיה",1
108,3,ירושלים,3000,836,"הנביאים, רש""י, פינס, יוסף בן מתתיהו, ילין דוד",3
109,3,ירושלים,3000,921,"כתב סופר, עזריאל, גבעת שאול, קהתי פנחס",1
110,3,מעלה עמוס,3653,0,,4
111,3,רכסים,922,0,,3
4,,,,,,
112,4,ירושלים,3000,522,"מעבר המיתלה, משמר הגבול, רמת הגולן, שד לוי אשכול, ים סוף",2
113,4,ירושלים,3000,1031,"מיכלין, מעלות צבי לצדיק, הרב פרנק, בית וגן, הרב עוזיאל",4
5,,,,,,
114,5,אופקים,31,6,"חפץ חיים, דרך הטייסים, רבי עקיבא, בוזגלו דוד",5
115,5,אלומה,1145,0,,5
